anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-74-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-76-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-76-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-76-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-84-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-84-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-84-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-85-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-86-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-86-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-87-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-87-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-89-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-90-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-91-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-91-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-92-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-92-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-93-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-95-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-95-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-96-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
