numero	processo	classe	incidente	peca_id	url_type	url
1181			5862288		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=5862288
1182	343446	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=343446&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1183	201630	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=201630&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1184	339528	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=339528&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1185	218182	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=218182&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1186	191044	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=191044&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1187	182971	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=182971&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1188	188107	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=188107&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1189	196341	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=196341&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1190	148331	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=148331&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1191			6410598		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6410598
1192				15362526326	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362526326&ext=.pdf
1193			4741447		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4741447
1194	3260	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=467550&PROCESSO=3260&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2282
1195	453	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=409472&PROCESSO=453&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2268
1196	3105	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=3105&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1197	1276	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1276&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1198	1600	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1600&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1199			6295303		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6295303
1200			5596953		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=5596953
1201			2574207		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2574207
1202	336134	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=336134&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1203	20858	MS			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=20858&CLASSE=MS&cod_classe=376&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1204	157871	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=157871&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1205	151855	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=151855&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1206				15363523022	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15363523022&ext=.pdf
1207	266602	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=401260&PROCESSO=266602&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2262
1208	177091	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=329690&PROCESSO=177091&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2224
1209	225602	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=225602&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1210	146733	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=210152&PROCESSO=146733&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=1683
