numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
933	RE	552.598	M						[RE 552.598, rel. min. Menezes Direito, j. 8-10-2008, P, DJE de 21-11-2008.]
934	RE	501.869							[RE 501.869 AgR, rel. min. Eros Grau, j. 23-9-2008, 2ª T, DJE de 31-10-2008.]
935	HC	95.674	E						[HC 95.674, rel. min. Eros Grau, j. 23-9-2008, 2ª T, DJE de 19-12-2008.]
936	MS	24.130	C						[MS 24.130, rel. min. Cezar Peluso, j. 16-4-2008, P, DJE de 20-6-2008.]
937	MS	26.732							[MS 26.732 AgR, rel. min. Cármen Lúcia, j. 25-6-2008, P, DJE de 15-8-2008.]
938	AC	1.621							[AC 1.621 MC, rel. min. Marco Aurélio, j. 14-4-2008, P, DJE de 20-6-2008.]
939	HC	92.680	C						[HC 92.680, rel. min. Cezar Peluso, j. 11-3-2008, 1ª T, DJE de 25-4-2008.]
940	AI	431.264							[AI 431.264 AgR-segundo, rel. min. Cezar Peluso, j. 30-10-2007, 2ª T, DJ de 23-11-2007.]
941	HC	85.717	C						[HC 85.717, rel. min. Celso de Mello, j. 9-10-2007, 1ª T, DJE de 14-6-2013.]
942	HC	91.207							[HC 91.207 MC, rel. min. Marco Aurélio, red. do ac. min. Cármen Lúcia, j. 11-6-2007, P, DJ de 21-9-2007.]
943	AI	529.733							[AI 529.733, voto do min. Gilmar Mendes, j. 17-10-2006, 2ª T, DJ de 1º-12-2006.]
944	HC	86.879	J						[HC 86.879, rel. min. Joaquim Barbosa, red. do ac. min. Gilmar Mendes, j. 21-2-2006, 2ª T, DJ de 16-6-2006.]
945	RE	413.327	J						[RE 413.327, rel. min. Joaquim Barbosa, j. 14-12-2004, 2ª T, DJ de 3-6-2005.]
946	RE	378.041	A						[RE 378.041, rel. min. Ayres Britto, j. 21-9-2004, 1ª T, DJ de 11-2-2005.]
947	MS	24.417	C						[MS 24.417, rel. min. Cezar Peluso, j. 2-6-2004, P, DJ de 28-10-2004.]
948	HC	81.611	S						[HC 81.611, rel. min. Sepúlveda Pertence, j. 10-12-2003, P, DJ de 13-5-2005.]
949	HC	83.255	M						[HC 83.255, rel. min. Marco Aurélio, j. 5-11-2003, P, DJ de 12-3-2004.]
950	MS	23.949	C						[MS 23.949, rel. min. Celso de Mello, j. 1º-2-2002, P, DJE de 27-3-2009.]
